prompt_head,prompt_length,model,hits,createdAt,lastUsedAt
"compare two competing explanations for the design of suspension bridges, and how it relates to the standardisation of ra",133,local-small,0,2026-08-24 18:02:09.464,2026-08-24 18:02:09.464
"explain the main mechanism behind inventory turnover in retail, and how it relates to the collapse of the bronze age?",117,local-small,0,2026-08-24 18:02:09.651,2026-08-24 18:02:09.651
"what does the evidence say about enzyme kinetics at low temperature, and how it relates to the rules of shogi?",110,local-small,0,2026-08-24 18:02:10.048,2026-08-24 18:02:10.048
"compare two competing explanations for byzantine mosaic techniques, and how it relates to inventory turnover in retail?",119,local-small,0,2026-08-24 18:02:10.113,2026-08-24 18:02:10.113
"what are the practical consequences of silk production in ancient china, and how it relates to the acoustics of concert ",126,local-small,0,2026-08-24 18:02:10.22,2026-08-24 18:02:10.22
"explain the main mechanism behind monsoon formation over india, and how it relates to zoning laws and housing supply?",117,local-small,0,2026-08-24 18:02:10.619,2026-08-24 18:02:10.619
"what does the evidence say about the collapse of the bronze age, and how it relates to the history of the shipping conta",125,local-small,0,2026-08-24 18:02:10.712,2026-08-24 18:02:10.712
"what would change if we could measure mycorrhizal networks in forests, and how it relates to nitrogen fixation by legume",122,local-small,0,2026-08-24 18:02:10.75,2026-08-24 18:02:10.75
"explain the main mechanism behind monsoon formation over india, and how it relates to the chemistry of fireworks?",113,local-small,0,2026-08-24 18:02:10.82,2026-08-24 18:02:10.82
"what commonly goes wrong with desalination by reverse osmosis, and how it relates to the migration of arctic terns?",115,local-small,0,2026-08-24 18:02:11.022,2026-08-24 18:02:11.022
"describe an experiment that would test tidal locking of moons, and how it relates to urban heat island effects?",111,local-small,0,2026-08-24 18:02:11.191,2026-08-24 18:02:11.191
"outline the economics of enzyme kinetics at low temperature, and how it relates to urban heat island effects?",109,local-small,0,2026-08-24 18:02:11.519,2026-08-24 18:02:11.519
"what are the practical consequences of the domestication of horses, and how it relates to the printing press and literac",122,local-small,0,2026-08-24 18:02:11.549,2026-08-24 18:02:11.549
"what commonly goes wrong with nitrogen fixation by legumes, and how it relates to the history of the shipping container?",120,local-small,0,2026-08-24 18:02:11.775,2026-08-24 18:02:11.775
"what are the practical consequences of radio propagation in the ionosphere, and how it relates to the rules of shogi?",117,local-small,0,2026-08-24 18:02:11.852,2026-08-24 18:02:11.852
"summarise the current understanding of the printing press and literacy, and how it relates to zoning laws and housing su",125,local-small,0,2026-08-24 18:02:12.186,2026-08-24 18:02:12.186
"what are the practical consequences of inventory turnover in retail, and how it relates to the printing press and litera",123,local-small,0,2026-08-24 18:02:12.334,2026-08-24 18:02:12.334
"explain the main mechanism behind the chemistry of fireworks, and how it relates to the great emu war?",102,local-small,0,2026-08-24 18:02:12.4,2026-08-24 18:02:12.4
"describe the historical development of the manufacture of window glass, and how it relates to the migration of arctic te",124,local-small,0,2026-08-24 18:02:12.556,2026-08-24 18:02:12.556
"what does the evidence say about inventory turnover in retail, and how it relates to the history of the shipping contain",123,local-small,0,2026-08-24 18:02:12.944,2026-08-24 18:02:12.944
"summarise the current understanding of the invention of double entry bookkeeping, and how it relates to the manufacture ",136,local-small,0,2026-08-24 18:02:13.206,2026-08-24 18:02:13.206
"describe the historical development of birdsong dialects by region, and how it relates to the standardisation of railway",128,local-small,0,2026-08-24 18:02:13.987,2026-08-24 18:02:13.987
"what commonly goes wrong with nitrogen fixation by legumes, and how it relates to the abolition of the slave trade?",115,local-small,0,2026-08-24 18:02:14.265,2026-08-24 18:02:14.265
"describe an experiment that would test how sourdough starters ferment, and how it relates to the evolution of flightless",127,local-small,0,2026-08-24 18:02:14.338,2026-08-24 18:02:14.338
"describe an experiment that would test enzyme kinetics at low temperature, and how it relates to the abolition of the sl",130,local-small,0,2026-08-24 18:02:14.538,2026-08-24 18:02:14.538
